adt_name,symbol
CD3,CD3E
CD4,CD4
CD8a,CD8A
CD14,CD14
CD16,FCGR3A
CD19,CD19
CD20,MS4A1
CD45RA,PTPRC
CD45RO,PTPRC
CD56,NCAM1
HLA-DR,HLA-DRA
