"geo_accession","supplementary_file"
"GSM4784064","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784064/suppl/GSM4784064_B003-AP0C1W7_leukopak_perm-cells_no-facs_ds125M_20kb-window-matrix.h5"
"GSM4784064","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784064/suppl/GSM4784064_B003-AP0C1W7_leukopak_perm-cells_no-facs_ds125M_filtered-fragments.tsv.gz"
"GSM4784064","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784064/suppl/GSM4784064_B003-AP0C1W7_leukopak_perm-cells_no-facs_ds125M_filtered-metadata.csv.gz"
"GSM4784065","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784065/suppl/GSM4784065_B003-AP0C1W8_leukopak_perm-cells_neudep-facs_ds125M_20kb-window-matrix.h5"
"GSM4784065","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784065/suppl/GSM4784065_B003-AP0C1W8_leukopak_perm-cells_neudep-facs_ds125M_filtered-fragments.tsv.gz"
"GSM4784065","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784065/suppl/GSM4784065_B003-AP0C1W8_leukopak_perm-cells_neudep-facs_ds125M_filtered-metadata.csv.gz"
"GSM4784066","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784066/suppl/GSM4784066_X024-AP0C1W1_ficoll_nuclei_1.00x10xNIB_ds125M_20kb-window-matrix.h5"
"GSM4784066","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784066/suppl/GSM4784066_X024-AP0C1W1_ficoll_nuclei_1.00x10xNIB_ds125M_filtered-fragments.tsv.gz"
"GSM4784066","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784066/suppl/GSM4784066_X024-AP0C1W1_ficoll_nuclei_1.00x10xNIB_ds125M_filtered-metadata.csv.gz"
"GSM4784067","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784067/suppl/GSM4784067_X024-AP0C1W2_ficoll_nuclei_0.25x10xNIB_ds125M_20kb-window-matrix.h5"
"GSM4784067","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784067/suppl/GSM4784067_X024-AP0C1W2_ficoll_nuclei_0.25x10xNIB_ds125M_filtered-fragments.tsv.gz"
"GSM4784067","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784067/suppl/GSM4784067_X024-AP0C1W2_ficoll_nuclei_0.25x10xNIB_ds125M_filtered-metadata.csv.gz"
"GSM4784068","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784068/suppl/GSM4784068_X024-AP0C1W3_ficoll_nuclei_0.10x10xNIB_ds125M_20kb-window-matrix.h5"
"GSM4784068","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784068/suppl/GSM4784068_X024-AP0C1W3_ficoll_nuclei_0.10x10xNIB_ds125M_filtered-fragments.tsv.gz"
"GSM4784068","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784068/suppl/GSM4784068_X024-AP0C1W3_ficoll_nuclei_0.10x10xNIB_ds125M_filtered-metadata.csv.gz"
"GSM4784069","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784069/suppl/GSM4784069_X024-AP0C1W4_ficoll_nuclei_ANIB_ds125M_20kb-window-matrix.h5"
"GSM4784069","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784069/suppl/GSM4784069_X024-AP0C1W4_ficoll_nuclei_ANIB_ds125M_filtered-fragments.tsv.gz"
"GSM4784069","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784069/suppl/GSM4784069_X024-AP0C1W4_ficoll_nuclei_ANIB_ds125M_filtered-metadata.csv.gz"
"GSM4784070","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784070/suppl/GSM4784070_X025-AP0C1W1_ficoll_perm-cells_0.01dig_ds125M_20kb-window-matrix.h5"
"GSM4784070","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784070/suppl/GSM4784070_X025-AP0C1W1_ficoll_perm-cells_0.01dig_ds125M_filtered-fragments.tsv.gz"
"GSM4784070","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784070/suppl/GSM4784070_X025-AP0C1W1_ficoll_perm-cells_0.01dig_ds125M_filtered-metadata.csv.gz"
"GSM4784071","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784071/suppl/GSM4784071_X025-AP0C1W2_ficoll_perm-cells_0.05dig_ds125M_20kb-window-matrix.h5"
"GSM4784071","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784071/suppl/GSM4784071_X025-AP0C1W2_ficoll_perm-cells_0.05dig_ds125M_filtered-fragments.tsv.gz"
"GSM4784071","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784071/suppl/GSM4784071_X025-AP0C1W2_ficoll_perm-cells_0.05dig_ds125M_filtered-metadata.csv.gz"
"GSM4784072","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784072/suppl/GSM4784072_X025-AP0C1W3_ficoll_perm-cells_0.10dig_ds125M_20kb-window-matrix.h5"
"GSM4784072","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784072/suppl/GSM4784072_X025-AP0C1W3_ficoll_perm-cells_0.10dig_ds125M_filtered-fragments.tsv.gz"
"GSM4784072","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784072/suppl/GSM4784072_X025-AP0C1W3_ficoll_perm-cells_0.10dig_ds125M_filtered-metadata.csv.gz"
"GSM4784073","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784073/suppl/GSM4784073_X025-AP0C1W4_ficoll_perm-cells_0.20dig_ds125M_20kb-window-matrix.h5"
"GSM4784073","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784073/suppl/GSM4784073_X025-AP0C1W4_ficoll_perm-cells_0.20dig_ds125M_filtered-fragments.tsv.gz"
"GSM4784073","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784073/suppl/GSM4784073_X025-AP0C1W4_ficoll_perm-cells_0.20dig_ds125M_filtered-metadata.csv.gz"
"GSM4784074","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784074/suppl/GSM4784074_X027-AP0C1W1_ficoll_perm-cells_no-facs_ds125M_20kb-window-matrix.h5"
"GSM4784074","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784074/suppl/GSM4784074_X027-AP0C1W1_ficoll_perm-cells_no-facs_ds125M_filtered-fragments.tsv.gz"
"GSM4784074","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784074/suppl/GSM4784074_X027-AP0C1W1_ficoll_perm-cells_no-facs_ds125M_filtered-metadata.csv.gz"
"GSM4784075","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784075/suppl/GSM4784075_X027-AP0C1W3_ficoll_perm-cells_neudep-facs_ds125M_20kb-window-matrix.h5"
"GSM4784075","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784075/suppl/GSM4784075_X027-AP0C1W3_ficoll_perm-cells_neudep-facs_ds125M_filtered-fragments.tsv.gz"
"GSM4784075","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784075/suppl/GSM4784075_X027-AP0C1W3_ficoll_perm-cells_neudep-facs_ds125M_filtered-metadata.csv.gz"
"GSM4784076","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784076/suppl/GSM4784076_X032-AP0C1W1_ficoll_perm-cells_no-bead_ds125M_20kb-window-matrix.h5"
"GSM4784076","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784076/suppl/GSM4784076_X032-AP0C1W1_ficoll_perm-cells_no-bead_ds125M_filtered-fragments.tsv.gz"
"GSM4784076","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784076/suppl/GSM4784076_X032-AP0C1W1_ficoll_perm-cells_no-bead_ds125M_filtered-metadata.csv.gz"
"GSM4784077","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4784nnn/GSM4784077/suppl/GSM4784077_X032-AP0C1W2_ficoll_perm-cells_neudep-bead_ds125M_20kb-window-matrix.h5"
